,Unnamed: 0,avgRating,listingBathroomLabel,bathrooms,listingBedLabel,bedrooms,beds,businessHostLabel,city,listingGuestLabel,id,isAutoTranslated,isNewListing,isSuperhost,relaxedFilterLabels,localizedCityName,localizedDistanceText,locationTitle,locationContext,listingName,listingObjType,neighborhood,previewTags,publicAddress,reviewsCount,roomType,roomTypeCategory,roomTypeId,spaceType,starRating,title,avgRatingLocalized,accessibilityLabel,price,qualifier,adults,children,infants,pets
50,50,5.0,2 baths,2.0,4 beds,3,4,,Calgary,7 guests,838014402213909246,False,False,True,,Calgary,,,,3 BR character home near downtown Calgary,REGULAR,,[],"Calgary, AB, Canada",51,Entire home/apt,entire_home,,Home,5.0,Home in Northeast Calgary,5.0 (51),$171 CAD per night,$171 CAD,night,1,0,0,0
51,51,5.0,1 bath,1.0,2 beds,2,2,,Calgary,3 guests,1288477238335748311,False,False,True,,Calgary,,,,InfinityNest: Chic downtown escape/ stunning views,REGULAR,,[],"Calgary, AB, Canada",4,Entire home/apt,entire_home,,Apartment,5.0,Apartment in Downtown Calgary,5.0 (4),$131 CAD per night,$131 CAD,night,1,0,0,0
52,52,4.93,1 bath,1.0,1 bed,1,1,,Calgary,3 guests,911093402768399797,False,False,True,,Calgary,,,,Fun & Cheerful | Downtown Hideaway | RIVER VIEWS!,REGULAR,,[],"Calgary, AB, Canada",121,Entire home/apt,entire_home,,Condo,5.0,Condo in Downtown Calgary,4.93 (121),$93 CAD per night,$93 CAD,night,1,0,0,0
53,53,4.93,2 baths,2.0,3 beds,2,3,,Calgary,7 guests,1076312862117569413,False,False,True,,Calgary,,,,2 bed 2 bath View of Saddledome,REGULAR,,[],"Calgary, AB, Canada",71,Entire home/apt,entire_home,,Condo,5.0,Condo in Downtown Calgary,4.93 (71),$81 CAD per night,$81 CAD,night,1,0,0,0
54,54,4.94,1 bath,1.0,2 beds,2,2,,Calgary,4 guests,1272568496453199343,False,False,True,,Calgary,,,,The Industrial | Downtown | Modern,REGULAR,,[],"Calgary, AB, Canada",17,Entire home/apt,entire_home,,Apartment,5.0,Apartment in Downtown Calgary,4.94 (17),$115 CAD per night,$115 CAD,night,1,0,0,0
55,55,4.77,1 bath,1.0,1 bed,1,1,,Calgary,3 guests,964603745729639184,False,False,False,,Calgary,,,,Low Cleaning fee - The Zen Den Minutes To Downtown,REGULAR,,[],"Calgary, AB, Canada",167,Entire home/apt,entire_home,,Condo,5.0,Condo in Northwest Calgary,4.77 (167),$87 CAD per night,$87 CAD,night,1,0,0,0
56,56,4.93,2 baths,2.0,5 beds,3,5,,Calgary,8 guests,675414407656597463,False,False,True,,Calgary,,,,Lovely 3BR unit in the heart of Calgary,REGULAR,,[],"Calgary, AB, Canada",208,Entire home/apt,entire_home,,Condo,5.0,Condo in Northeast Calgary,4.93 (208),$138 CAD per night,$138 CAD,night,1,0,0,0
57,57,,1 shared bath,1.0,1 bed,1,1,,Calgary,2 guests,1218687631746385770,False,False,False,,Calgary,,,,EW3- bedroom,REGULAR,,[],"Calgary, AB, Canada",1,Private room,private_room,,Private room,,Room in Southeast Calgary,,$30 CAD per night,$30 CAD,night,1,0,0,0
58,58,,2 shared baths,2.0,3 beds,1,3,,Calgary,5 guests,1341543032384227800,False,True,False,,Calgary,,,,Bedroom + private living room DT,REGULAR,,[],"Calgary, AB, Canada",0,Private room,private_room,,Private room,,Room in Northwest Calgary,New,$31 CAD per night,$31 CAD,night,1,0,0,0
59,59,,1 bath,1.0,1 bed,1,1,,Calgary,4 guests,1297993651617174735,False,False,False,,Calgary,,,,River view one bedroom apartment,REGULAR,,[],"Calgary, AB, Canada",1,Entire home/apt,entire_home,,Apartment,,Apartment in Downtown Calgary,New,$145 CAD per night,$145 CAD,night,1,0,0,0
60,60,,2 shared baths,2.0,1 bed,1,1,,Calgary,2 guests,1334983028977739585,False,True,False,,Calgary,,,,Spacious BR DT with hot tub,REGULAR,,[],"Calgary, AB, Canada",0,Private room,private_room,,Private room,,Room in Northwest Calgary,New,$43 CAD per night,$43 CAD,night,1,0,0,0
61,61,4.85,1 bath,1.0,2 beds,1,2,,Calgary,4 guests,975578951017674504,False,False,True,,Calgary,,,,Cozy Urban Retreat,REGULAR,,[],"Calgary, AB, Canada",67,Entire home/apt,entire_home,,Apartment,5.0,Apartment in Southeast Calgary,4.85 (67),$120 CAD per night,$120 CAD,night,1,0,0,0
62,62,4.65,1 bath,1.0,2 beds,2,2,,Calgary,5 guests,979280547670388347,False,False,False,,Calgary,,,,Cozy Two Bedrooms in Downtown by Bow River,REGULAR,,[],"Calgary, AB, Canada",113,Entire home/apt,entire_home,,Apartment,4.5,Apartment in Downtown Calgary,4.65 (113),$113 CAD per night,$113 CAD,night,1,0,0,0
63,63,4.97,1 bath,1.0,2 beds,1,2,,Calgary,4 guests,1177249699959516923,False,False,True,,Calgary,,,,Stylish Sunlit Suite | FREE Parking | FAST Wi-Fi,REGULAR,,[],"Calgary, AB, Canada",63,Entire home/apt,entire_home,,Condo,5.0,Condo in Northwest Calgary,4.97 (63),$113 CAD per night,$113 CAD,night,1,0,0,0
64,64,5.0,1 bath,1.0,1 bed,1,1,,Calgary,4 guests,1289203342730811048,False,False,False,,Calgary,,,,Heart of the City Stay (Entire Condo + Parking),REGULAR,,[],"Calgary, AB, Canada",5,Entire home/apt,entire_home,,Apartment,5.0,Apartment in Downtown Calgary,5.0 (5),$100 CAD per night,$100 CAD,night,1,0,0,0
65,65,4.96,1 bath,1.0,2 beds,1,2,,Calgary,4 guests,648586239452158379,False,False,True,,Calgary,,,,Inglewood Laneway Escape,REGULAR,,[],"Calgary, AB, Canada",23,Entire home/apt,entire_home,,Guesthouse,5.0,Guesthouse in Southeast Calgary,4.96 (23),$225 CAD per night,$225 CAD,night,1,0,0,0
66,66,5.0,2 baths,2.0,3 beds,2,3,,Calgary,5 guests,1258106834139461250,False,False,True,,Calgary,,,,The Era City Haven|2BR2BA|City Views,REGULAR,,[],"Calgary, AB, Canada",21,Entire home/apt,entire_home,,Condo,5.0,Condo in Northwest Calgary,5.0 (21),$110 CAD per night,$110 CAD,night,1,0,0,0
67,67,4.89,1 bath,1.0,2 beds,1,2,,Calgary,4 guests,1233657897337558410,False,False,True,,Calgary,,,,Rustic Ramsay Retreat by Calgary Stampede,REGULAR,,[],"Calgary, AB, Canada",9,Entire home/apt,entire_home,,Apartment,5.0,Apartment in Southeast Calgary,4.89 (9),$53 CAD per night,$53 CAD,night,1,0,0,0
68,68,,1 bath,1.0,2 beds,1,2,,Calgary,4 guests,1317612493274462710,False,True,False,,Calgary,,,,One Bedroom Exquisite Condo,REGULAR,,[],"Calgary, AB, Canada",1,Entire home/apt,entire_home,,Apartment,,Apartment in Northwest Calgary,New,$57 CAD per night,$57 CAD,night,1,0,0,0
69,69,4.67,2 baths,2.0,2 beds,2,2,,Calgary,5 guests,1253862111049547842,False,False,True,,Calgary,,,,Brooklyn Poker Lounge • 2Bed/2Bath • Free Parking!,REGULAR,,[],"Calgary, AB, Canada",12,Entire home/apt,entire_home,,Condo,4.5,Condo in Downtown Calgary,4.67 (12),$99 CAD per night,$99 CAD,night,1,0,0,0
70,70,,0 shared baths,0.0,1 bed,1,1,,Calgary,2 guests,1336997702359487871,False,True,False,,Calgary,,,,Dee's  King-Size Comfort!,REGULAR,,[],"Calgary, AB, Canada",1,Private room,private_room,,Hotel room,,Hotel in Southwest Calgary,New,$69 CAD per night,$69 CAD,night,1,0,0,0
71,71,4.93,1 bath,1.0,2 beds,1,2,,Calgary,2 guests,660791278166631334,False,False,True,,Calgary,,,,"Amazing View, King Bed, Trendy Neighbourhood",REGULAR,,[],"Calgary, AB, Canada",104,Entire home/apt,entire_home,,Condo,5.0,Condo in Southeast Calgary,4.93 (104),$104 CAD per night,$104 CAD,night,1,0,0,0
72,72,,1 bath,1.0,2 beds,1,2,,Calgary,2 guests,1264556613477720695,False,False,True,,Calgary,,,,Calgary Tower Views | UG Park | Rooftop Patio,REGULAR,,[],"Calgary, AB, Canada",1,Entire home/apt,entire_home,,Apartment,,Apartment in Northwest Calgary,,$90 CAD per night,$90 CAD,night,1,0,0,0
73,73,5.0,1 bath,1.0,2 beds,2,2,,Calgary,4 guests,1084477191124436974,False,False,True,,Calgary,,,,Beautiful Bridgeland | Free Parking | Dog-Friendly,REGULAR,,[],"Calgary, AB, Canada",78,Entire home/apt,entire_home,,Home,5.0,Home in Northeast Calgary,5.0 (78),$225 CAD per night,$225 CAD,night,1,0,0,0
